-- --------------------------------------------------------------------------------------------------
-- - Cliente
-- --------------------------------------------------------------------------------------------------
insert into Cliente (nomeCliente, telefoneCliente, sexoCliente, dataNascimento) values ('Torre Symondson', '255 601 2871', 'Male', '2019-04-05 08:51:33');
insert into Cliente (nomeCliente, telefoneCliente, sexoCliente, dataNascimento) values ('Rosanne Ebbett', '453 349 0047', 'Female', '2021-02-18 04:44:40');
insert into Cliente (nomeCliente, telefoneCliente, sexoCliente, dataNascimento) values ('Daisey Aishford', '923 492 4744', 'Female', '2022-01-30 15:49:14');
insert into Cliente (nomeCliente, telefoneCliente, sexoCliente, dataNascimento) values ('Gwendolin Tremmil', '605 578 4219', 'Female', '2020-06-05 14:21:48');
insert into Cliente (nomeCliente, telefoneCliente, sexoCliente, dataNascimento) values ('Lovell Sturdey', '215 400 9576', 'Male', '2022-10-03 20:45:43');
insert into Cliente (nomeCliente, telefoneCliente, sexoCliente, dataNascimento) values ('Curran Grimme', '157 345 6925', 'Male', '2018-06-29 09:04:02');
insert into Cliente (nomeCliente, telefoneCliente, sexoCliente, dataNascimento) values ('Val Pillinger', '631 288 0321', 'Male', '2009-10-03 12:19:39');
insert into Cliente (nomeCliente, telefoneCliente, sexoCliente, dataNascimento) values ('Sarajane Wolfit', '748 544 5543', 'Female', '2013-11-02 23:14:13');
insert into Cliente (nomeCliente, telefoneCliente, sexoCliente, dataNascimento) values ('Nichole Monteath', '484 207 9559', 'Female', '2016-07-20 18:38:10');
insert into Cliente (nomeCliente, telefoneCliente, sexoCliente, dataNascimento) values ('Sheila-kathryn Abyss', '542 571 0035', 'Female', '2016-12-19 20:55:02');
insert into Cliente (nomeCliente, telefoneCliente, sexoCliente, dataNascimento) values ('Vina Rodder', '962 651 5290', 'Female', '2023-09-28 06:47:23');
insert into Cliente (nomeCliente, telefoneCliente, sexoCliente, dataNascimento) values ('Haroun Franckton', '837 704 3907', 'Male', '2022-11-03 10:18:01');
insert into Cliente (nomeCliente, telefoneCliente, sexoCliente, dataNascimento) values ('Thomasin Verrier', '874 936 4357', 'Female', '2014-05-02 16:09:45');
insert into Cliente (nomeCliente, telefoneCliente, sexoCliente, dataNascimento) values ('Bartlett Wittke', '940 471 5445', 'Male', '2021-05-22 00:35:28');
insert into Cliente (nomeCliente, telefoneCliente, sexoCliente, dataNascimento) values ('Cynthia Owbridge', '658 764 2200', 'Female', '2014-06-28 06:19:59');
insert into Cliente (nomeCliente, telefoneCliente, sexoCliente, dataNascimento) values ('Clotilda Jesteco', '224 666 5528', 'Female', '2023-05-29 15:07:23');
insert into Cliente (nomeCliente, telefoneCliente, sexoCliente, dataNascimento) values ('Irita Van Castele', '519 278 8151', 'Female', '2016-01-12 04:41:46');
insert into Cliente (nomeCliente, telefoneCliente, sexoCliente, dataNascimento) values ('Ellary Lawden', '406 918 1445', 'Male', '2015-12-25 11:14:21');
insert into Cliente (nomeCliente, telefoneCliente, sexoCliente, dataNascimento) values ('Wilma Norrie', '535 908 0940', 'Polygender', '2011-08-26 01:25:37');
insert into Cliente (nomeCliente, telefoneCliente, sexoCliente, dataNascimento) values ('Artemas Curwood', '922 926 8397', 'Male', '2017-12-28 06:40:25');
insert into Cliente (nomeCliente, telefoneCliente, sexoCliente, dataNascimento) values ('Blaire Yuryaev', '840 157 0846', 'Female', '2022-11-08 12:04:28');
insert into Cliente (nomeCliente, telefoneCliente, sexoCliente, dataNascimento) values ('Haroun Churchyard', '534 974 6523', 'Male', '2016-05-13 08:31:59');
insert into Cliente (nomeCliente, telefoneCliente, sexoCliente, dataNascimento) values ('Ardith Blackhurst', '556 389 3401', 'Female', '2016-06-18 20:59:14');
insert into Cliente (nomeCliente, telefoneCliente, sexoCliente, dataNascimento) values ('Winston Haxell', '360 309 5655', 'Male', '2012-06-18 23:59:51');
insert into Cliente (nomeCliente, telefoneCliente, sexoCliente, dataNascimento) values ('Mortimer Schoenleiter', '245 434 8602', 'Male', '2009-05-26 13:29:54');
insert into Cliente (nomeCliente, telefoneCliente, sexoCliente, dataNascimento) values ('Tris Gowlett', '707 474 0715', 'Male', '2011-02-10 08:31:10');
insert into Cliente (nomeCliente, telefoneCliente, sexoCliente, dataNascimento) values ('Hamel Valente', '510 342 0262', 'Male', '2017-08-22 15:25:38');
insert into Cliente (nomeCliente, telefoneCliente, sexoCliente, dataNascimento) values ('Thaine Worsalls', '629 341 9802', 'Male', '2023-11-17 17:44:17');
insert into Cliente (nomeCliente, telefoneCliente, sexoCliente, dataNascimento) values ('Aurlie Sieve', '264 828 7693', 'Female', '2017-10-29 07:36:10');
insert into Cliente (nomeCliente, telefoneCliente, sexoCliente, dataNascimento) values ('Egor Fernez', '484 217 7823', 'Male', '2011-11-13 05:05:11');
insert into Cliente (nomeCliente, telefoneCliente, sexoCliente, dataNascimento) values ('Eirena Barles', '703 712 0314', 'Female', '2013-04-24 00:55:59');
insert into Cliente (nomeCliente, telefoneCliente, sexoCliente, dataNascimento) values ('Alfy Petrov', '707 845 3577', 'Male', '2006-07-23 06:14:51');
insert into Cliente (nomeCliente, telefoneCliente, sexoCliente, dataNascimento) values ('Mischa Woofinden', '571 763 1851', 'Polygender', '2024-01-26 09:43:10');
insert into Cliente (nomeCliente, telefoneCliente, sexoCliente, dataNascimento) values ('Gideon Morford', '230 945 4770', 'Male', '2007-10-22 13:51:40');
insert into Cliente (nomeCliente, telefoneCliente, sexoCliente, dataNascimento) values ('Kyrstin Labusch', '169 403 6012', 'Female', '2018-01-15 11:36:36');
insert into Cliente (nomeCliente, telefoneCliente, sexoCliente, dataNascimento) values ('Devan Gellert', '205 472 8229', 'Female', '2004-11-29 07:31:25');
insert into Cliente (nomeCliente, telefoneCliente, sexoCliente, dataNascimento) values ('Berget Dinning', '442 572 1034', 'Female', '2012-05-02 23:45:24');
insert into Cliente (nomeCliente, telefoneCliente, sexoCliente, dataNascimento) values ('Dorey Godly', '238 372 2680', 'Female', '2012-01-26 23:04:12');
insert into Cliente (nomeCliente, telefoneCliente, sexoCliente, dataNascimento) values ('Kathrine Meech', '900 876 4322', 'Female', '2022-12-01 00:05:03');
insert into Cliente (nomeCliente, telefoneCliente, sexoCliente, dataNascimento) values ('Marcus Caldwell', '586 822 9315', 'Male', '2007-01-02 22:51:51');
insert into Cliente (nomeCliente, telefoneCliente, sexoCliente, dataNascimento) values ('Ebenezer Haseley', '452 972 2601', 'Male', '2009-12-10 06:19:34');
insert into Cliente (nomeCliente, telefoneCliente, sexoCliente, dataNascimento) values ('Shanda Mechi', '237 635 8954', 'Female', '2012-08-26 11:25:57');
insert into Cliente (nomeCliente, telefoneCliente, sexoCliente, dataNascimento) values ('Shane Barefoot', '629 686 2495', 'Female', '2023-04-16 22:18:49');
insert into Cliente (nomeCliente, telefoneCliente, sexoCliente, dataNascimento) values ('Darwin Ebbett', '655 219 4068', 'Male', '2015-09-22 06:41:22');
insert into Cliente (nomeCliente, telefoneCliente, sexoCliente, dataNascimento) values ('Lizbeth Smidmore', '575 720 4413', 'Female', '2008-05-13 17:23:42');
insert into Cliente (nomeCliente, telefoneCliente, sexoCliente, dataNascimento) values ('Tomasine Goodhew', '201 160 4060', 'Genderqueer', '2020-06-12 06:25:12');
insert into Cliente (nomeCliente, telefoneCliente, sexoCliente, dataNascimento) values ('Adelaide Baelde', '169 740 0930', 'Female', '2006-04-16 09:17:52');
insert into Cliente (nomeCliente, telefoneCliente, sexoCliente, dataNascimento) values ('Ransell Pumphreys', '802 330 6590', 'Male', '2009-07-01 12:58:12');
insert into Cliente (nomeCliente, telefoneCliente, sexoCliente, dataNascimento) values ('Regen Brychan', '778 687 7918', 'Male', '2009-12-23 10:39:59');
insert into Cliente (nomeCliente, telefoneCliente, sexoCliente, dataNascimento) values ('Annemarie Sleeny', '908 538 1259', 'Female', '2012-07-11 10:54:03');
insert into Cliente (nomeCliente, telefoneCliente, sexoCliente, dataNascimento) values ('Dannye Longmaid', '935 672 2312', 'Female', '2014-05-06 13:07:14');
insert into Cliente (nomeCliente, telefoneCliente, sexoCliente, dataNascimento) values ('Tomaso Shurman', '998 537 6136', 'Male', '2022-01-14 05:15:22');
